difference0,difference1,difference2,difference3,difference4,difference5,difference6,difference7,difference8,difference9,difference10,difference11,difference12,difference13,difference14,difference15,difference16,difference17,difference18,difference19,difference20,difference21,difference22,difference23,difference24,z_score
-8.375123105917934,-3.1472987483842942,-6.480025743240224,-8.447317424871509,-9.811766197028104,-15.410980448070466,-5.205072725164056,-3.5493712365949195,-7.413305334249564,-5.381364834459189,-1.6835415928272248,-5.938829368622465,-4.239223580161621,3.0081908228576424,-0.590734924810025,-0.08508840952163485,-6.990718489371943,-3.2250189347445724,4.235667164134738,8.457069502202268,10.092391204371486,10.138653082494987,7.337036982178311,7.9328790686454695,3.0128035364046433,1.5627670151211934
-13.322452326760077,-3.9586425519995316,-6.212762134373469,-10.60983086383404,-22.275966301021924,-7.144996541443756,-3.9684497547871245,-4.008391367091829,-4.359821247537528,-5.290290340467882,-17.379767609588818,0.16404170809007304,0.06442745620882014,-3.6811250287603863,-1.211717435921821,-17.220305968343318,-3.949446391405674,-3.9525359542241145,-6.567704767589938,-8.915691491047111,-2.4500826976717844,-4.873171130182965,-4.466005939131675,-3.9348217063266553,-6.7421845761010095,1.1828733721031206
-11.466717344720546,-15.123330712690185,-12.579868238248405,-7.844841007089936,-3.103549377035817,-9.871735361028795,-10.714264941077392,-2.805588347571983,-6.73388094004263,-4.796243886143438,-5.170826966197421,-1.0766608798986848,-4.080083530360881,-7.3793011765462415,-5.4684415972625215,-6.860843848663793,-4.637954482571694,-4.863202693146442,-7.999258697524723,-8.844833138731383,2.712880628453412,6.30852171131221,-4.588737903657738,-6.656812604489173,-4.320084081877908,-1.1292158505012897
-4.835789786233413,-6.09383216490179,-3.2144986763265813,-3.103172808964917,-8.363765740796063,-7.802428932580105,-12.056810698915575,-1.2212464358719906,-2.080453070159319,-5.620863669290794,-2.3139781939903576,-0.5982173672079617,-1.9880326902268493,-14.285634733024764,-11.732554793296023,-7.463854291645257,-9.266048705379433,2.823402552408579,2.5136190397707185,1.8492004113675573,0.04330533620062585,-0.6780171388707752,-1.3113713144227201,-1.1286902735034703,-9.166681321324411,1.4507487813355198
-14.145110356126606,-12.9720803809438,-13.450674474077355,-9.280754285380855,-9.506307790428007,-10.173444903163627,-13.702578309017328,-12.75040856598605,-8.027558574640652,-7.786103885813536,-9.138592810790437,-12.730779058885641,-5.401550881662416,-8.72378349418984,-9.450780907178606,-10.414139351336564,-12.147248149718417,-8.615785924958633,-5.2344745426340715,-8.311827470280969,-8.746592196905429,-7.18365149977484,-8.247669443743417,-9.252396306742716,-9.50482589543108,0.7958093556154481
-3.1858491869554864,-2.579043723303982,0.6172720605751555,2.6811464269023246,1.5725448064091145,-1.7171058473703813,-4.442990119492181,0.186301699132351,-0.2860963101813116,2.346421844008127,-5.957247801435262,-5.5998495089046605,-2.620719132037673,-0.11437282784891988,0.47065632057994644,0.5785773719233132,-2.555358863665525,-7.9454744009206655,-4.912436099832696,-6.327041859078608,-2.376592416169344,-9.257701495113777,-2.536887552138027,-3.6909710148518755,-11.071331236391874,-0.6987149147276965
-9.8101712463153,-8.028012124250296,-10.418861128087837,-9.460767708548156,-7.0934423096045265,-7.96234000667754,-14.578918140062889,-11.621813983200687,-11.154335069922393,-12.470847105501266,-12.040041711713142,-7.974559532988227,-7.32456752927115,-11.63548547226412,-15.538157325660215,-12.294758877503083,-6.849356189297103,-10.045534785490071,-8.239419005650914,-11.013570360848703,-16.626077310265035,-11.984760046290186,-8.790502010032945,-13.150416298081291,-12.434093917259101,-1.0629221644733562
-11.543651265099534,-10.694805405085228,-11.063520486471546,-7.278526316884198,-7.771720363920769,-10.709151499831474,-11.809786771690987,-8.642908582971451,-5.183030862523658,-6.323271379651938,-7.936417672545371,-6.220424986432749,-2.856790471082769,-3.480825319789034,-6.303058040585764,-6.987168854905945,-7.691220945030776,-9.440053214013938,-4.5124742457760085,-2.7894829025600973,-5.013019940169854,-5.589494628409471,-5.459702050478081,-7.026992963813363,-7.689702496939959,0.5826394719641854
-7.161917922098675,-7.019422133883879,-7.246669158761203,-3.1757781064946533,-5.480776179017928,-6.7530782489318195,-5.019946161818021,-6.604283928316568,-2.127672011840844,-7.230859619836488,3.2202245474266986,3.738790369182782,-2.544656547666127,-4.832291451741729,-4.79095024308881,1.5213320792578167,3.030399915334268,0.9565029231690086,-1.7639200320876245,0.04138208079785577,-0.06797601195714803,-1.9067192444608687,-1.9067851355725023,-1.8939520837531334,-1.8987153401139818,-0.2681218449914572
-11.005525571234307,-1.0723591819030385,-11.003408165006785,-16.650457451383595,-1.9253104813144857,0.5921284517949137,-2.017948361611019,-3.566248037396555,-7.898902979055343,-2.428452150213238,-1.3771545326532164,-5.461562880556351,-9.768581078653487,-2.700911085777661,2.2858354334178537,-3.278275026049125,-2.545043949544833,0.48296249072999975,-11.590910018799956,2.403569597463895,0.20760007698554614,-5.412304890450412,-3.0327223705193176,-4.90384213119628,-11.587605579726452,-0.7707230685441557
