,id,average0,average1,average2,average3,average4,average5,average6,average7,average8,average9,average10,average11,average12,average13,average14,average15,average16,average17,average18,average19,average20,average21,average22,average23,average24,rating,z_score,category,binary_category
11,recording11.mp3,67383.41725000001,41201.510749999994,12294.796750000001,24355.289999999997,13409.190249999996,279.78225,45742.4645,14818.93375,26611.866500000004,22702.666500000003,684.24625,5049.977250000001,19514.226500000004,12406.663250000001,9920.976250000002,5134.041750000002,5208.144249999999,383.81675,36139.75475,14887.564750000001,14708.507249999995,10696.56625,213.99349999999998,31410.567749999995,67239.10725,7.5,0.7079290919959903,good,good
12,recording12.mp3,351.47125,300.22150000000005,382.20925,587.7465,241.606,487.62774999999993,365.72425000000004,939.292,891.2269999999996,219.98024999999998,476.19450000000006,406.9880000000001,550.0580000000001,612.1235,263.3137499999999,718.4722499999997,425.566,340.69775,820.8457500000002,1094.1695,221.91649999999998,188.06674999999998,187.673,127.39775000000002,132.60524999999998,6.75,0.8110680654102282,good,good
13,recording13.mp3,8867.831,6757.2744999999995,4591.2695,2394.861999999999,2986.2224999999994,205.34274999999994,2283.48325,4544.282999999999,2422.8490000000006,632.34325,614.53825,198.96724999999998,716.4605,6741.750999999998,2771.46625,2545.9012500000003,230.78875,133.58975,4701.82775,452.3785,2864.7102500000005,123.75825000000005,2568.25775,4901.77825,16.3495,3.7142857142857144,-0.5085442397043843,okay,bad
14,recording14.mp3,200.755,447.6585000000002,493.37825000000004,466.36224999999985,2433.2660000000005,309.30150000000003,291.59700000000004,227.86500000000007,472.70475000000005,774.16625,1812.3342500000006,387.3265,389.43275000000006,328.8542500000001,421.83950000000004,1829.592,443.75675,502.55075000000005,404.15649999999994,490.05774999999994,2087.421,658.28475,1859.6727500000002,379.94874999999996,245.79325000000009,3.75,-0.441303884567647,okay,bad
15,recording15.mp3,1588.045,953.7427500000001,3262.8135000000007,1172.7600000000002,1988.9894999999997,282.33750000000003,343.59250000000003,1490.4425,243.02875000000003,1654.2775000000001,893.5692499999998,312.05550000000005,949.9552499999998,821.2235000000001,1306.2095,699.9157499999998,357.79724999999996,279.6575,2218.580000000001,2842.0342499999997,3378.3969999999995,3952.632499999999,1497.4480000000003,290.54325000000006,19415.298749999998,5.125,-0.05059468844180545,okay,good
16,recording16.mp3,255.58624999999992,398.83075,336.3542500000001,859.7009999999998,221.86300000000006,180.79700000000003,89.386,116.651,228.79725,246.33599999999996,617.6307499999999,207.88774999999995,133.61475000000002,36.905,162.27900000000002,163.70175,255.4215,225.36975,1439.37775,177.53750000000008,262.10524999999996,386.493,246.8575,697.6042499999999,161.71175000000002,4.75,-0.6533562824915689,bad,bad
17,recording17.mp3,704.75175,573.1842500000005,320.39199999999994,618.6127500000001,384.0200000000003,379.8082500000004,374.11000000000024,421.99574999999993,347.71999999999986,604.6649999999996,550.2562499999999,374.8219999999998,598.8589999999998,916.3229999999992,371.1715,473.85675000000003,749.2482500000008,2296.2490000000007,805.3082500000003,586.1169999999998,432.9290000000001,521.465,347.6144999999999,339.1487499999998,255.5265,3.6,-0.9490996007020007,bad,bad
18,recording18.mp3,707.27825,347.7039999999999,279.71825,1322.0645,1303.5309999999993,306.01675,419.602,450.73525,372.2135,255.18524999999994,2231.3435,328.98425,840.5055,342.62375,494.7054999999999,663.8805,354.13475,334.00700000000006,273.11725,593.48825,555.7005000000001,377.635,2333.2172500000006,317.42674999999997,312.75775,4.333333333333333,-0.5067155589213489,okay,bad
19,recording19.mp3,440.9105000000001,246.79325,492.48474999999996,671.9922500000002,260.28574999999995,146.90825000000004,124.08224999999997,115.99824999999998,584.8785000000003,808.8612499999998,217.767,199.47075,301.04175,375.35324999999995,516.3690000000001,549.1719999999999,322.81350000000003,1867.9692499999996,187.767,45.88525,176.51749999999998,311.91274999999996,234.48599999999996,639.6022499999997,207.44125000000003,4.0,-0.4015524084810709,okay,bad
20,recording20.mp3,655.0534999999999,194.42124999999993,205.4384999999999,329.84300000000013,282.87300000000005,205.85399999999998,247.20499999999993,578.7392499999999,311.2427500000001,335.5364999999999,307.18125,250.1984999999999,256.12974999999994,329.16700000000003,293.1924999999999,263.0355000000003,253.17400000000006,240.21450000000004,183.66875,287.26424999999983,280.24475,265.64975,275.08800000000014,256.0360000000001,246.652,5.166666666666667,0.11807560760913009,okay,good
21,recording21.mp3,109.02225000000001,397.2032500000001,115.877,124.89650000000003,121.85975000000003,110.16324999999999,256.40749999999997,174.25475,131.45799999999994,121.421,149.74525000000003,1440.17025,602.0495000000001,128.21450000000002,152.75175,110.88025000000005,138.11474999999996,190.49174999999997,174.524,439.9245000000001,155.2175,121.59025,129.5235,130.28125,126.00350000000003,6.875,0.5856431713844783,good,good
22,recording22.mp3,1301.7117499999995,1345.7105000000004,1427.365,1323.10075,1421.39825,1665.5674999999999,1634.6784999999998,1466.4997500000002,1301.359,1455.1292500000004,1416.6235,1309.9122499999999,1872.095999999999,1903.5947500000002,1674.6770000000004,1307.828,1858.3077499999995,1712.1789999999996,1575.9085,1477.5142500000002,1612.39325,2333.5525,1911.449,1924.76675,2554.593250000001,5.25,-0.12765657157068602,okay,bad
23,recording23.mp3,982.5662499999999,748.7187499999999,365.95449999999994,977.6662500000002,394.72225000000014,145.22825,413.8555,540.998,298.78975,511.66674999999987,1004.85,313.24725,576.7237500000001,368.95050000000015,505.93375000000015,529.37975,2680.633,484.85350000000005,261.42100000000016,689.7675000000002,582.988,537.3655,515.113,395.59125,368.24500000000006,6.714285714285714,0.7276215312962748,good,good
24,recording24.mp3,343.58299999999997,432.186,853.9,261.9797499999999,252.2177500000001,253.33775,2722.6600000000003,2614.0775,193.988,1007.1672500000004,300.85925000000003,289.46825,374.7477500000001,2728.4525000000003,357.307,726.8235,297.7325000000002,282.36024999999995,260.45875000000007,12424.198749999998,365.4225,278.94075,3282.4987499999997,291.68549999999993,265.20025,4.2,-0.30227299123856,okay,bad
25,recording25.mp3,590.6612500000002,614.0500000000001,208.05550000000002,355.9435,173.6045,171.50324999999998,238.17649999999998,252.62850000000003,191.82374999999996,491.71325000000013,172.59650000000005,148.868,793.1037500000002,180.32049999999998,1567.2545000000005,163.198,266.41925000000003,211.08249999999998,167.89974999999998,130.73774999999998,582.0395,297.96650000000005,230.75775,212.39249999999993,191.7855,3.5714285714285716,-0.9133695173095344,bad,bad
